id,date,screen_time
1,2026-07-04,4.5
2,2026-07-04,5.81
3,2026-07-03,8.09
4,2026-07-02,8.21
5,2026-07-01,3.99
6,2026-06-30,2.31
7,2026-06-29,5.27
8,2026-06-28,4.85
9,2026-06-27,4.74
10,2026-06-26,5.01
11,2026-06-25,5.42
12,2026-06-24,3.52
13,2026-06-23,5.51
14,2026-06-22,7.7
15,2026-06-21,5.57
16,2026-06-20,2.79
17,2026-06-19,6.01
18,2026-06-18,6.54
19,2026-06-17,5.02
20,2026-06-16,2.59
21,2026-06-15,7.41
22,2026-06-14,4.27
23,2026-06-13,8.4
24,2026-06-12,7.46
25,2026-06-11,7.12
26,2026-06-10,5.34
27,2026-06-09,8.14
28,2026-06-08,2.58
29,2026-06-07,8.71
30,2026-06-06,4.89
31,2026-06-05,6.59
32,2026-07-04,5.36
